,wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price_category
19896,panel,8,9.0,58.0,6.5,55.671047,37.652723,0
19897,panel,7,12.0,58.4,6.0,55.597485,37.607179,0
19898,panel,4,9.0,58.0,6.0,55.604122,37.596552,0
19899,panel,7,17.0,58.0,10.0,55.632784,37.747029,0
19900,monolith,14,26.0,58.0,20.8,55.58536700000001,37.601151,0
19901,monolith,14,17.0,58.0,10.0,55.608439,37.756623,0
19902,panel,14,17.0,58.0,10.0,55.608439,37.756623,0
19903,monolith,24,25.0,58.0,10.0,55.60120300000001,37.727553,0
19904,monolithBrick,16,25.0,58.0,20.0,55.58536700000001,37.601151,0
19905,panel,22,22.0,59.0,10.2,55.632769,37.742097,0
19906,panel,2,9.0,59.0,6.5,55.683046,37.67069,0
19907,panel,10,22.0,58.6,10.5,55.641539,37.618201,0
19908,panel,4,5.0,59.0,5.0,55.630085,37.655463,0
19909,panel,11,18.0,58.0,10.0,55.616188,37.731488,0
19910,panel,11,22.0,58.7,10.2,55.62078399999999,37.717941,0
19911,panel,11,22.0,58.7,10.1,55.62078399999999,37.717941,0
19912,panel,2,9.0,59.0,7.5,55.611633,37.584442,0
19913,brick,4,5.0,58.3,6.0,55.680057,37.688126,0
19914,brick,8,8.0,59.0,9.8,55.655422,37.618794,0
19915,monolithBrick,18,25.0,58.0,21.0,55.584645,37.603487,0
19916,panel,6,9.0,59.0,6.0,55.670823,37.651008,0
19917,panel,14,18.0,58.2,10.5,55.633038,37.610961,0
19918,panel,12,17.0,58.0,10.0,55.623295,37.613737,0
19919,brick,5,5.0,58.2,8.0,55.704174,37.614608,0
19920,monolith,11,17.0,59.0,10.5,55.634364,37.615156,0
19921,panel,11,14.0,58.0,15.0,55.59885799999999,37.725271,0
19922,panel,3,9.0,59.0,7.0,55.713998,37.619989,0
19923,monolithBrick,11,12.0,58.0,7.2,55.710945,37.643821,0
19924,brick,3,5.0,58.0,9.0,55.716483,37.612147,0
19925,panel,11,25.0,58.4,14.0,55.67028000000001,37.610287,0
19926,monolith,2,15.0,59.0,21.1,55.690897,37.65894,0
19927,monolithBrick,9,18.0,58.0,8.0,55.710809,37.610404,0
19928,monolithBrick,8,18.0,59.0,11.8,55.710692,37.607448,1
19929,panel,8,9.0,58.2,6.0,55.58152,37.64497100000001,0
19930,panel,4,9.0,58.0,6.0,55.591961,37.648897,0
19931,panel,5,9.0,59.0,6.0,55.61661,37.649346,0
19932,panel,2,9.0,58.5,6.0,55.620489,37.747136,0
19933,panel,1,16.0,58.0,10.0,55.616661,37.745322,0
19934,panel,7,9.0,58.8,6.5,55.627483,37.598474,0
19935,panel,1,12.0,58.4,6.0,55.595852,37.614302,0
19936,block,3,12.0,58.0,6.0,55.596518,37.618534,0
19937,panel,2,17.0,58.2,10.2,55.62133299999999,37.735728,0
19938,panel,5,5.0,58.0,5.8,55.62665,37.652589,0
19939,panel,9,17.0,58.0,12.0,55.601976,37.668848,0
19940,panel,6,9.0,58.1,5.8,55.59546,37.611473,0
19941,panel,22,22.0,59.0,10.0,55.63878,37.754359,0
19942,panel,14,17.0,59.0,9.0,55.61010699999999,37.727733,0
19943,panel,11,17.0,58.0,10.5,55.641493,37.774481,0
19944,panel,9,9.0,59.0,7.0,55.60389300000001,37.584227,0
19945,panel,8,9.0,58.0,6.0,55.631046,37.608607,0
19946,panel,8,9.0,58.4,6.1,55.683046,37.67069,0
19947,brick,6,8.0,58.8,9.0,55.698173,37.619827,0
19948,panel,7,9.0,58.0,6.0,55.67003100000001,37.649741,0
19949,panel,7,9.0,58.0,14.0,55.67003100000001,37.649741,0
19950,panel,7,22.0,59.0,10.3,55.622136,37.602184,0
19951,brick,3,6.0,58.0,8.0,55.678854,37.660404,0
19952,panel,2,5.0,59.0,6.0,55.715008,37.608167,0
19953,brick,3,5.0,58.0,10.0,55.691476,37.603325,0
19954,panel,3,9.0,59.0,7.0,55.713998,37.619989,0
19955,brick,6,9.0,59.0,12.0,55.711113,37.616494,0
19956,monolith,6,6.0,58.2,6.0,55.710945,37.643821,0
19957,brick,3,8.0,59.0,8.2,55.708587,37.58667,0
19958,brick,9,9.0,58.0,10.0,55.72380500000001,37.66200300000001,0
19959,panel,3,9.0,58.0,6.0,55.57661,37.653011,0
19960,monolith,22,24.0,58.0,9.4,55.59541,37.724373,0
19961,monolith,9,9.0,59.0,6.0,55.631285,37.606918,0
19962,panel,1,9.0,58.0,6.0,55.635122,37.677301,0
19963,panel,8,17.0,58.1,10.2,55.63814,37.671453,0
19964,panel,11,22.0,58.9,10.0,55.632814,37.612506,0
19965,panel,16,20.0,58.0,10.0,55.5838,37.591467,0
19966,panel,5,12.0,60.3,6.5,55.616437,37.736994,0
19967,monolithBrick,5,18.0,60.0,10.0,55.710809,37.610404,1
19968,monolith,20,33.0,62.0,14.0,55.676585,37.634092,0
19969,block,3,9.0,60.3,8.0,55.585438,37.66539,0
19970,panel,6,9.0,60.5,7.0,55.61618299999999,37.709766,0
19971,panel,16,17.0,60.0,10.0,55.638287,37.697873,0
19972,brick,4,11.0,60.0,11.5,55.69994300000001,37.619683,0
19973,monolith,5,14.0,61.46,12.2,55.700613,37.633634,0
19974,monolith,3,17.0,60.58,12.0,55.69900500000001,37.638557,0
19975,monolith,17,20.0,60.58,12.1,55.69902,37.636401,0
19976,block,3,5.0,60.0,6.0,55.63251500000001,37.682197,0
19977,monolith,22,24.0,60.0,10.0,55.59541,37.724373,0
19978,panel,1,9.0,61.0,8.1,55.605104,37.734776,0
19979,panel,9,9.0,60.5,8.8,55.605119,37.728164,0
19980,panel,20,22.0,60.0,10.2,55.625003,37.703146,0
19981,monolith,6,17.0,60.4,11.0,55.60460500000001,37.599265,0
19982,panel,13,17.0,62.0,10.0,55.643597,37.769936,0
19983,panel,4,9.0,60.0,6.5,55.60144200000001,37.71053,0
19984,panel,4,9.0,60.0,8.0,55.717411,37.63149600000001,0
19985,panel,8,9.0,60.0,6.0,55.59958,37.609281,0
19986,panel,8,12.0,60.0,6.0,55.596518,37.618534,0
19987,brick,3,5.0,60.7,13.0,55.596661,37.658176,0
19988,panel,9,12.0,60.0,6.0,55.60115699999999,37.666719,0
19989,panel,9,12.0,60.0,6.0,55.59259100000001,37.664815,0
19990,panel,6,9.0,60.0,7.0,55.617739,37.64797100000001,0
19991,panel,3,9.0,60.0,7.0,55.604122,37.596552,0
19992,monolith,11,15.0,61.0,10.0,55.701075,37.642204,0
19993,panel,3,9.0,60.0,6.0,55.57661,37.653011,0
19994,panel,3,9.0,60.1,6.0,55.620489,37.747136,0
19995,panel,4,9.0,60.0,6.0,55.616676,37.648385,0
19996,panel,6,9.0,60.0,6.0,55.595994,37.607835,0
19997,panel,4,9.0,60.0,6.0,55.60144200000001,37.71053,0
19998,panel,2,9.0,60.0,6.0,55.681899,37.64719,0
19999,panel,7,10.0,62.0,6.0,55.610789,37.600549,0
20000,panel,15,22.0,60.4,10.0,55.640878,37.692429,0
20001,panel,8,9.0,62.0,7.0,55.59944300000001,37.612443,0
20002,panel,4,12.0,62.0,8.0,55.62630400000001,37.739366,0
20003,panel,15,16.0,60.8,10.4,55.588476,37.597055,0
20004,panel,5,9.0,61.0,8.0,55.622583,37.591629,0
20005,panel,2,12.0,62.0,7.0,55.60284,37.719567,0
20006,monolith,16,22.0,62.0,14.7,55.636234,37.713602,0
20007,panel,4,9.0,60.0,6.0,55.619167,37.720735,0
20008,monolith,7,16.0,60.0,12.0,55.600893000000006,37.724077,0
20009,monolith,17,25.0,62.0,9.0,55.63395300000001,37.76107800000001,0
20010,whiteBrick,7,8.0,60.0,10.0,55.666528,37.630095,0
20011,monolith,12,23.0,62.0,17.0,55.647204,37.618641,0
20012,brick,3,9.0,62.0,12.0,55.698173,37.619827,0
20013,panel,4,12.0,61.4,6.4,55.6242,37.726601,0
20014,panel,20,24.0,62.0,11.0,55.643404,37.654772,0
20015,monolith,20,22.0,60.0,13.0,55.62276600000001,37.706353,0
20016,panel,3,9.0,61.4,8.5,55.678803,37.683814,0
20017,monolith,4,20.0,60.0,14.3,55.64504399999999,37.659191,0
20018,brick,3,5.0,61.0,8.5,55.71231,37.609245,0
20019,monolithBrick,10,14.0,60.0,18.0,55.69995400000001,37.63712,0
20020,brick,12,12.0,62.0,9.0,55.70858199999999,37.662264,0
20021,whiteBrick,7,10.0,60.0,11.0,55.713207,37.646714,0
20022,monolithBrick,1,3.0,60.0,8.0,55.710672,37.615057,0
20023,monolith,14,14.0,60.8,12.4,55.701521,37.6448,0
20024,monolithBrick,5,18.0,60.0,10.0,55.710809,37.610404,1
20025,block,1,9.0,60.0,7.0,55.593049,37.662892,0
20026,panel,2,9.0,60.0,6.2,55.579078,37.655535,0
20027,panel,1,12.0,60.4,6.6,55.615731,37.581137,0
20028,panel,5,9.0,60.0,6.0,55.603863,37.58641,0
20029,panel,8,9.0,60.0,6.0,55.62541,37.721004,0
20030,panel,1,9.0,60.0,6.0,55.595455,37.615542,0
20031,panel,3,9.0,60.0,7.0,55.604122,37.596552,0
20032,panel,2,24.0,62.0,11.0,55.58335200000001,37.694729,0
20033,panel,6,9.0,60.0,7.0,55.617739,37.64797100000001,0
20034,panel,9,9.0,60.0,6.0,55.60805300000001,37.71080900000001,0
20035,panel,4,9.0,60.0,7.0,55.616209,37.706452,0
20036,panel,8,9.0,60.0,6.0,55.617774,37.754179,0
20037,block,7,12.0,62.0,7.6,55.59688000000001,37.595833,0
20038,panel,3,9.0,60.0,6.0,55.619874,37.722451,0
20039,panel,3,9.0,60.0,6.5,55.614658,37.60284,0
20040,panel,2,9.0,60.0,6.0,55.681899,37.64719,0
20041,brick,2,5.0,61.0,6.0,55.70953000000001,37.643794,0
20042,block,12,12.0,60.0,6.5,55.598034,37.659605,0
20043,block,2,5.0,60.1,6.0,55.710205,37.639922,0
20044,block,5,9.0,60.0,6.0,55.632103,37.681425,0
20045,panel,15,17.0,60.0,10.0,55.638831,37.693857,0
20046,panel,4,14.0,62.0,7.7,55.639324,37.673645,0
20047,panel,3,17.0,60.3,10.1,55.609329,37.758266,0
20048,brick,3,5.0,62.0,7.6,55.684539,37.688881,0
20049,panel,5,14.0,61.3,8.2,55.634959,37.758455,0
20050,panel,3,9.0,60.0,7.0,55.633907,37.611958,0
20051,block,1,12.0,62.0,7.0,55.678458,37.682287,0
20052,block,11,12.0,62.0,9.0,55.596518,37.618534,0
20053,panel,12,17.0,60.0,10.2,55.632499,37.752374,0
20054,panel,4,12.0,62.0,8.0,55.680935,37.681721,0
20055,panel,2,9.0,61.0,8.5,55.607585,37.739932,0
20056,panel,18,18.0,60.0,10.0,55.612904,37.578963,0
20057,whiteBrick,3,5.0,62.0,7.4,55.714364,37.661554,0
20058,panel,20,24.0,61.7,11.4,55.643404,37.654772,0
20059,brick,9,9.0,60.1,9.0,55.662283,37.626295,0
20060,monolith,8,22.0,60.2,19.9,55.62276600000001,37.706353,0
20061,panel,11,14.0,60.0,13.0,55.650282,37.609595,0
20062,brick,1,6.0,62.0,7.0,55.717188,37.619522,0
20063,monolith,20,25.0,60.0,16.0,55.672245,37.611491,0
20064,whiteBrick,11,13.0,60.0,9.0,55.70858199999999,37.662264,0
20065,monolith,3,18.0,61.0,10.4,55.682605,37.69419,0
20066,panel,19,24.0,60.0,11.5,55.643404,37.654772,0
20067,monolith,4,24.0,61.1,10.8,55.677539,37.634398,0
20068,panel,19,25.0,60.7,15.2,55.672245,37.611491,0
20069,panel,16,17.0,60.1,12.8,55.694398,37.60266,0
20070,brick,4,8.0,61.6,7.5,55.709865,37.5865,1
20071,panel,8,9.0,60.3,8.0,55.601976,37.594028,0
20072,monolith,2,16.0,60.3,12.2,55.600893000000006,37.724077,0
20073,panel,4,12.0,60.9,6.9,55.658083,37.609056,0
20074,monolith,8,14.0,63.9,16.0,55.59885799999999,37.725271,0
20075,brick,7,12.0,63.7,7.9,55.584126,37.653334,0
20076,monolith,25,45.0,63.3,11.0,55.579811,37.67131,0
20077,monolith,18,45.0,63.9,11.0,55.579811,37.67131,0
20078,panel,11,12.0,64.0,6.0,55.589061,37.6501,0
20079,monolith,2,24.0,63.6,11.0,55.579811,37.67131,0
20080,monolith,12,24.0,63.8,10.2,55.579811,37.67131,0
20081,monolith,8,19.0,63.9,10.3,55.58117900000001,37.581451,0
20082,panel,4,14.0,64.0,8.5,55.635426,37.757045,0
20083,panel,9,12.0,63.1,6.7,55.588659,37.648924,0
20084,brick,13,14.0,64.0,8.0,55.700704,37.660961,0
20085,monolith,3,14.0,63.0,17.0,55.599728000000006,37.724723,0
20086,panel,16,16.0,64.0,7.6,55.584578,37.650307,0
20087,panel,11,12.0,64.0,6.0,55.589061,37.6501,0
20088,panel,11,12.0,64.0,6.0,55.589061,37.6501,0
20089,monolith,10,11.0,63.4,9.7,55.605866000000006,37.664743,0
20090,panel,3,12.0,63.0,6.6,55.60759,37.743354,0
20091,panel,3,9.0,63.1,6.7,55.623752,37.651008,0
20092,panel,4,12.0,64.0,7.1,55.613687,37.713773,0
20093,panel,2,9.0,63.0,7.5,55.596752,37.586958,0
20094,block,11,12.0,64.0,6.8,55.59688000000001,37.595833,0
20095,panel,5,12.0,63.0,7.0,55.602225,37.616207,0
20096,panel,5,12.0,64.0,6.0,55.602225,37.616207,0
20097,whiteBrick,1,8.0,63.1,9.1,55.667538,37.630077,0
20098,panel,4,16.0,63.9,7.7,55.604407,37.615398,0
20099,panel,2,12.0,63.2,7.2,55.62539399999999,37.609425,0
20100,panel,5,12.0,64.0,7.0,55.61331600000001,37.722091,0
20101,panel,1,12.0,63.4,6.7,55.586146,37.662668,0
20102,panel,3,9.0,63.4,7.5,55.62615200000001,37.592366,0
20103,panel,8,12.0,63.26,7.1,55.63596999999999,37.614491,0
20104,panel,8,12.0,63.8,7.1,55.658083,37.609056,0
20105,panel,11,12.0,64.0,8.4,55.620286,37.734308,0
20106,block,6,16.0,64.0,8.0,55.594616,37.61235300000001,0
20107,panel,5,14.0,64.0,9.0,55.639949,37.664042,0
20108,panel,6,12.0,64.0,8.2,55.619874,37.59312,0
20109,panel,2,9.0,63.8,7.0,55.625013,37.598492,0
20110,block,5,9.0,63.0,12.0,55.603003,37.592105,0
20111,panel,2,9.0,64.0,6.0,55.614287,37.699319,0
20112,panel,1,9.0,64.0,7.0,55.6142,37.594288,0
20113,whiteBrick,4,8.0,64.0,10.0,55.662187,37.630499,0
20114,panel,6,9.0,64.0,7.5,55.634049,37.606406,0
20115,monolith,6,24.0,63.6,12.0,55.701612,37.65218400000001,0
20116,monolith,14,20.0,63.53,12.2,55.69900500000001,37.638557,0
20117,brick,2,5.0,63.0,12.0,55.718299,37.62819,0
20118,panel,2,9.0,63.0,7.0,55.632103,37.600657,0
20119,panel,2,9.0,63.0,7.0,55.632103,37.600657,0
20120,brick,2,6.0,64.0,6.0,55.71553,37.620312,0
20121,whiteBrick,6,12.0,63.1,12.0,55.709865,37.5865,1
20122,block,1,12.0,64.0,9.0,55.59420400000001,37.670905,0
20123,panel,10,12.0,64.0,6.0,55.589061,37.6501,0
20124,panel,7,12.0,64.0,7.0,55.584126,37.653334,0
20125,panel,8,12.0,64.0,7.0,55.582263,37.655688,0
20126,panel,15,17.0,63.7,8.4,55.581739,37.691243,0
20127,panel,2,9.0,63.0,7.9,55.599346,37.715839,0
20128,panel,11,12.0,64.0,6.0,55.589061,37.6501,0
20129,panel,4,12.0,63.2,7.0,55.599626,37.669513,0
20130,panel,3,9.0,63.0,8.5,55.609706,37.739662,0
20131,panel,2,12.0,63.1,6.0,55.60020600000001,37.620231,0
20132,panel,6,9.0,64.0,6.0,55.60795600000001,37.59436,0
20133,panel,6,12.0,63.0,6.6,55.621226,37.72219000000001,0
20134,panel,2,12.0,64.0,6.5,55.612548,37.714626,0
20135,panel,5,12.0,63.1,6.6,55.61591899999999,37.733356,0
20136,panel,2,12.0,63.1,6.7,55.603822,37.737794,0
20137,panel,3,12.0,63.0,7.0,55.621226,37.72219000000001,0
20138,block,5,9.0,64.0,7.0,55.623752,37.651008,0
20139,panel,7,14.0,63.0,8.4,55.637591,37.764609,0
20140,panel,11,14.0,63.9,8.2,55.635426,37.757045,0
20141,panel,7,9.0,64.0,8.0,55.67199100000001,37.65364,0
20142,block,2,9.0,63.9,7.0,55.625013,37.598492,0
20143,panel,9,9.0,63.0,6.0,55.624083,37.604825,0
20144,monolith,14,24.0,64.0,12.0,55.702536,37.652831,0
20145,monolithBrick,6,15.0,64.0,9.3,55.604651,37.661132,0
20146,panel,13,17.0,64.0,13.0,55.593029,37.606388,0
20147,monolith,5,20.0,63.53,12.0,55.69900500000001,37.638557,0
20148,brick,5,9.0,63.9,7.5,55.703398,37.666036,0
20149,monolith,17,24.0,63.0,12.0,55.701612,37.65218400000001,0
20150,panel,12,14.0,63.0,17.0,55.661623,37.615569,0
20151,monolith,8,14.0,63.6,12.0,55.69995400000001,37.63712,0
20152,monolith,6,9.0,64.0,6.5,55.621348,37.595213,0
20153,block,11,12.0,64.0,6.8,55.59688000000001,37.595833,0
20154,panel,2,9.0,63.6,7.1,55.624083,37.604825,0
20155,panel,5,9.0,65.0,9.0,55.620972,37.701241,0
20156,monolithBrick,9,17.0,65.0,12.4,55.606899,37.659101,0
20157,monolith,19,19.0,66.1,11.6,55.579811,37.67131,0
20158,block,1,12.0,67.0,9.0,55.616437,37.736994,0
20159,brick,6,8.0,65.5,9.0,55.67116800000001,37.629071,0
20160,brick,5,6.0,65.6,7.5,55.71721899999999,37.620195,0
20161,panel,2,12.0,66.0,8.0,55.624581000000006,37.734362,0
20162,block,5,9.0,65.0,7.5,55.680443,37.674552,0
20163,panel,11,12.0,65.0,7.0,55.589849,37.649813,0
20164,monolithBrick,10,13.0,65.0,11.0,55.607519,37.655769,0
20165,monolith,3,11.0,65.9,9.0,55.606512,37.658338,0
20166,panel,3,12.0,65.0,7.0,55.601549,37.620896,0
20167,panel,8,12.0,66.2,12.0,55.612095,37.580679,0
20168,panel,2,14.0,67.0,9.1,55.629592,37.606209,0
20169,panel,11,16.0,66.5,8.5,55.600099,37.580625,0
20170,panel,16,16.0,66.3,7.9,55.602352,37.739483,0
20171,block,5,16.0,67.0,12.0,55.607519,37.655769,0
20172,panel,3,9.0,67.0,7.0,55.599672,37.664599,0
20173,panel,1,16.0,65.0,10.0,55.638252,37.607179,0
20174,block,2,16.0,66.9,8.0,55.619269,37.707054,0
20175,panel,4,12.0,65.0,10.3,55.604071,37.732665,0
20176,block,4,9.0,66.1,7.0,55.685158,37.68641,0
20177,brick,2,8.0,66.1,7.0,55.719551,37.662812,0
20178,panel,9,16.0,66.4,9.0,55.638252,37.607179,0
20179,panel,14,16.0,66.0,7.7,55.605236,37.609335,0
20180,panel,2,14.0,66.56,10.7,55.661125,37.629197,0
20181,panel,10,12.0,65.0,8.0,55.597149,37.591943,0
20182,panel,3,22.0,66.1,9.2,55.690278,37.691899,0
20183,panel,5,9.0,65.0,6.0,55.680443,37.674552,0
20184,panel,2,16.0,65.0,8.0,55.680717,37.677445,0
20185,brick,5,13.0,67.0,8.0,55.70631,37.616836,0
20186,monolithBrick,6,19.0,65.0,12.0,55.67561600000001,37.632134,0
20187,brick,7,8.0,66.1,9.0,55.71124,37.612173,0
20188,monolith,23,23.0,65.0,11.6,55.596437,37.599831,0
20189,monolith,9,14.0,66.0,11.7,55.714353,37.663997,0
20190,brick,1,8.0,65.6,9.0,55.71700600000001,37.62369,1
20191,panel,7,12.0,65.0,6.8,55.61303100000001,37.72776,0
20192,monolith,15,45.0,67.0,12.0,55.579811,37.67131,0
20193,panel,6,12.0,65.0,7.0,55.582263,37.655688,0
20194,panel,6,16.0,66.4,8.0,55.585784,37.649004,0
20195,monolith,3,11.0,65.9,9.0,55.606416,37.665686,0
20196,panel,11,12.0,65.0,7.0,55.60785500000001,37.716782,0
20197,panel,11,12.0,67.0,10.0,55.63504,37.683536,0
20198,monolithBrick,5,16.0,67.0,12.0,55.60669,37.663126,0
20199,block,11,12.0,65.0,10.0,55.625704000000006,37.668992,0
20200,brick,2,8.0,66.4,8.0,55.702871,37.664186,0
20201,panel,4,9.0,66.0,7.3,55.621673,37.604574,0
20202,panel,4,12.0,66.0,6.6,55.644689,37.618129,0
20203,brick,5,8.0,65.0,15.0,55.702871,37.664186,0
20204,panel,11,16.0,66.9,10.0,55.62559200000001,37.656469,0
20205,block,7,9.0,66.0,7.0,55.685158,37.68641,0
20206,monolith,4,15.0,65.0,10.0,55.604651,37.661132,0
20207,panel,10,12.0,65.4,9.0,55.606777,37.741809,0
20208,block,6,16.0,66.5,8.5,55.600099,37.580625,0
20209,panel,14,16.0,65.0,8.0,55.588603000000006,37.5948,0
20210,panel,3,9.0,66.9,6.2,55.620886,37.601627,0
20211,block,10,14.0,65.0,8.7,55.661623,37.615569,0
20212,block,3,12.0,65.0,9.0,55.694114,37.61017,0
20213,monolith,3,14.0,65.6,13.2,55.69995400000001,37.63712,0
20214,block,2,16.0,65.0,8.0,55.680717,37.677445,0
20215,whiteBrick,3,5.0,66.0,12.0,55.722274,37.64745,0
20216,panel,3,12.0,65.0,7.0,55.602144,37.720142,0
20217,monolith,5,16.0,66.52,12.1,55.716691,37.655616,0
20218,monolith,5,16.0,66.52,12.1,55.710692,37.607448,0
20219,monolith,5,16.0,66.52,12.1,55.70071,37.631532,0
20220,monolith,11,14.0,68.7,15.0,55.699938,37.635314,0
20221,monolith,11,18.0,68.0,10.5,55.576793,37.673403,0
20222,monolith,11,20.0,68.2,10.5,55.576793,37.673403,0
20223,monolithBrick,11,14.0,69.0,15.4,55.699938,37.635314,0
20224,monolith,9,14.0,69.0,15.4,55.69910600000001,37.634721,0
20225,monolith,6,14.0,68.0,12.0,55.703139,37.646417,0
20226,brick,3,13.0,68.0,6.0,55.69368299999999,37.620465,0
20227,monolith,4,24.0,68.0,10.8,55.608384,37.593318,0
20228,brick,6,8.0,68.0,8.1,55.67116800000001,37.629071,0
20229,monolith,4,14.0,68.9,17.7,55.69910600000001,37.634721,0
20230,panel,6,9.0,68.0,6.0,55.606751,37.612811,0
20231,panel,6,24.0,68.0,10.0,55.608384,37.593318,0
20232,brick,4,6.0,68.0,7.0,55.71644300000001,37.621884,0
20233,monolith,4,14.0,68.0,14.0,55.69910600000001,37.634721,0
20234,monolithBrick,16,16.0,68.8,15.5,55.71056,37.64507,1
20235,block,13,14.0,69.0,9.0,55.596183,37.661635,0
20236,panel,2,9.0,68.0,6.5,55.622472,37.720771,0
20237,brick,3,3.0,68.0,12.0,55.70388000000001,37.615991,0
20238,panel,10,16.0,68.0,8.2,55.610672,37.700469,0
20239,monolith,2,9.0,68.0,8.5,55.685777,37.68588,0
20240,panel,5,24.0,68.0,10.1,55.608384,37.593318,0
20241,monolith,15,24.0,68.0,9.1,55.608384,37.593318,0
20242,monolithBrick,3,17.0,68.0,16.0,55.699938,37.635314,0
20243,monolith,24,24.0,68.4,15.1,55.701612,37.65218400000001,0
20244,monolith,11,14.0,68.7,15.0,55.69995400000001,37.63712,0
20245,brick,2,8.0,68.0,8.5,55.713649,37.606011,0
20246,monolith,3,8.0,69.0,12.0,55.712152,37.612506,1
20247,panel,5,17.0,70.8,10.0,55.682864,37.652445,0
20248,panel,1,17.0,72.0,10.0,55.590597,37.612632,0
20249,monolith,6,14.0,72.0,19.6,55.700613,37.633634,0
20250,monolithBrick,2,17.0,70.0,19.0,55.677159,37.695348,0
20251,monolith,8,14.0,71.0,20.6,55.69995400000001,37.63712,0
20252,monolith,3,14.0,70.0,11.0,55.681387,37.674445,0
20253,monolithBrick,6,15.0,72.0,9.0,55.606512,37.658338,0
20254,panel,14,22.0,71.0,10.0,55.690187,37.690237,0
20255,monolith,9,15.0,71.79,16.3,55.69900500000001,37.638557,0
20256,monolith,10,14.0,71.6,18.0,55.699938,37.635314,0
20257,monolith,11,15.0,71.4,16.3,55.69900500000001,37.638557,0
20258,panel,16,17.0,72.0,9.0,55.583235,37.67016,0
20259,monolith,12,14.0,70.1,21.0,55.700613,37.633634,0
20260,monolith,16,22.0,70.0,15.0,55.59405600000001,37.598115,0
20261,panel,6,16.0,70.9,7.5,55.610285,37.736303,0
20262,panel,3,17.0,72.0,9.0,55.604636,37.74746,0
20263,brick,4,6.0,70.0,8.0,55.645547,37.670717,0
20264,panel,7,12.0,70.0,7.0,55.608465,37.716612,0
20265,brick,4,9.0,72.0,8.5,55.698878,37.621282,0
20266,panel,1,17.0,72.0,10.0,55.682864,37.652445,0
20267,brick,6,6.0,72.0,10.0,55.660617,37.618686,0
20268,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20269,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20270,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20271,panel,6,9.0,70.0,7.0,55.634049,37.606406,0
20272,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20273,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20274,brick,7,9.0,71.0,8.0,55.65465,37.608778,0
20275,panel,3,13.0,70.9,10.6,55.58773299999999,37.603406,0
20276,panel,10,12.0,70.0,8.0,55.597149,37.591943,0
20277,monolith,8,22.0,71.1,13.0,55.59405600000001,37.598115,0
20278,panel,5,25.0,70.9,10.1,55.638536,37.59065,0
20279,panel,10,14.0,70.2,8.3,55.636356000000006,37.747639,0
20280,panel,17,17.0,71.8,11.0,55.625374,37.706101,0
20281,monolith,5,13.0,70.0,12.0,55.58913199999999,37.602651,0
20282,monolith,5,13.0,70.0,12.0,55.58913199999999,37.602651,0
20283,panel,13,13.0,71.0,11.0,55.58773299999999,37.603406,0
20284,whiteBrick,1,6.0,71.2,6.7,55.71721899999999,37.620195,0
20285,brick,3,9.0,70.7,9.0,55.718699,37.660359,0
20286,panel,5,16.0,72.0,10.0,55.607972,37.606074,0
20287,panel,5,16.0,71.0,11.0,55.607972,37.606074,0
20288,panel,8,15.0,71.0,11.0,55.68319399999999,37.648277,0
20289,monolith,6,14.0,71.0,21.0,55.69995400000001,37.63712,0
20290,panel,7,16.0,70.0,9.0,55.587194,37.596687,0
20291,monolith,3,14.0,71.3,8.9,55.681387,37.674445,0
20292,panel,15,25.0,70.3,19.8,55.684046,37.656308,0
20293,brick,4,9.0,70.0,9.5,55.718344,37.630149,0
20294,monolith,14,15.0,71.0,16.7,55.701075,37.642204,0
20295,monolith,7,15.0,71.53,13.0,55.701075,37.642204,0
20296,monolith,14,14.0,71.3,15.0,55.701075,37.642204,0
20297,monolithBrick,12,14.0,71.67,21.0,55.700613,37.633634,0
20298,monolith,9,10.0,72.0,23.9,55.708663,37.590255,1
20299,brick,7,9.0,71.5,10.0,55.58865400000001,37.667959,0
20300,brick,5,5.0,71.0,6.8,55.710332,37.643129,0
20301,whiteBrick,2,8.0,70.0,6.0,55.708425,37.665273,0
20302,brick,3,5.0,71.5,8.4,55.69725500000001,37.61353,0
20303,panel,6,9.0,70.0,7.0,55.634049,37.606406,0
20304,panel,5,17.0,72.0,10.0,55.637535,37.650981,0
20305,panel,6,9.0,70.0,7.1,55.634049,37.606406,0
20306,brick,5,8.0,70.0,10.0,55.70358100000001,37.661078,0
20307,panel,6,16.0,71.0,7.0,55.675017,37.664985,0
20308,brick,2,9.0,71.8,22.0,55.660445,37.620276,0
20309,brick,2,5.0,71.4,6.7,55.716483,37.612147,0
20310,monolith,3,14.0,70.5,10.0,55.69995400000001,37.63712,0
20311,panel,24,25.0,71.0,14.0,55.672245,37.611491,0
20312,monolith,4,12.0,71.0,12.0,55.58841500000001,37.601798,0
20313,monolith,12,14.0,71.67,21.0,55.700613,37.633634,0
20314,panel,15,25.0,71.0,13.0,55.67028000000001,37.610287,0
20315,brick,3,5.0,70.0,12.0,55.71873000000001,37.618039,0
